title,img,pub_date,city,bedrooms,description,currency,price
"Finch and Bathurst: 3 Goldfinch Court, SPACIOUS 1BR AVAILABLE!!",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/89/89756900-8921-41ac-bc71-b55d287da01f?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Apartment for Rent in Toronto managed by Q Residential Key Property Details Newly renovated suites and under new management Onsite Laundry & Parking! Convenient Access to Hwy 401 & to Many Amenities! ...",$,1750.00
"One bedroom bsmt apt.",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/55/554d5708-f298-40b0-b5c4-e6d32a12f755?rule=kijijica-200-jpg,09-09-2022,"City of Toronto"," 1","Apartment near dovercourt and Davenport for rent by owner please contact with any questions",-,0.00
"1 bedroom condo with utilities ",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/46/46d4657a-2262-4f99-b0d8-0776a74c01ad?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","All utilities are included in the rent. Open Concept Layout With Ample Closet Space. Laminate Flooring, Along With Vinyl Flooring In The Foyer.Conveniently Located In Walking Distance To U Of T, ...",$,2500.00
"1 bedroom and 2 bedroom Rental for students",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/71/71e1ce5d-1cc0-48ef-adf2-b83af171bc7e?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Utilities are included in the rent. Open Concept Layout With Ample Closet Space. Laminate Flooring, Along With Vinyl Flooring In The Foyer.Conveniently Located In Walking Distance To U Of T, Ryerson, ...",$,2500.00
"2 Bedroom Apartments for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/54/5445449f-e14c-4187-9d64-c30aa3a45f8f?rule=kijijica-200-jpg,09-09-2022,Toronto," 2","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,3384.00
"3 BedroomPent House Apartment for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/60/6066cf10-7cfd-466f-a3aa-32927ef332c4?rule=kijijica-200-jpg,09-09-2022,Toronto," 3","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,8995.00
"1 Bedroom Apartments for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/02d7065f-7b8d-4139-8da7-2ae66fce2b8d?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,2550.00
"Jr 1 Bedroom Apartments for Rent on Jackes Avenue",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a0/a09352ae-b20e-4c82-8b05-9629a54bdd00?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing luxury residence ...Ask About our Rental Incentive!",$,2050.00
"Lake Shore & Browns-Line 1 Br. CONDO Next to GO-Train",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/52/529094d8-6416-4592-b908-12e276823977?rule=kijijica-200-jpg,09-09-2022,Toronto," 1","Available Oct. 1st / Nov. 1st. Parking available for $100 extra. Quiet one Bedroom Condo, South facing unobstructed views of Lake and Park, directly across GO Train Station and TTC, near Golf course, ...",$,2200.00
"2 BEDROOMS + BIG LIVING ROOM (Students also welcome)",https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a0/a0ed5fa1-e468-4dcb-ae11-f339aad30b85?rule=kijijica-200-jpg,09-09-2022,Toronto," 2","Excellent location: Near Lawrence Ave and Birchmount rd, 2 bedrooms, big Living rooms, Nice Washroom and Kitchen, Separate entrance door, free unlimited high-speed internet and car parking. All 100% ...",$,2000.00
